100_percent: RB intensifier 
asteroid_belt: N nc 
astringent_drug: N nc prod 
astronomical_unit: N nc unit 
astronomy_unit: N nc unit 
at_a_crossroads: A ac idiomPP 
at_a_discount: A ac idiomPP 
at_a_loss: A ac idiomPP pred 
at_a_loss_for_words: A ac idiomPP pred 
at_a_low_ebb: A ac idiomPP pred 
at_a_premium: A ac idiomPP pred 
at_a_sitting: RB idiomPP 
at_a_stretch: RB idiomPP 
at_a_stroke: RB idiomPP 
at_a_turning_point: A ac idiomPP 
at_all_cost: RB idiomPP intensifier 
at_all_costs: RB idiomPP intensifier 
at_all_times: RB freq idiomPP 
at_any_cost: RB idiomPP intensifier 
at_any_price: RB expression idiomPP intensifier 
at_any_rate: RB idiomPP 
at_bat: A N ac event idiomPP pred 
at_bay: A ac idiomPP pred 
at_best: RB expression idiomPP range 
at_close_quarters: A ac idiomPP 
at_cross_purposes: A ac idiomPP pred 
at_death's_door: A ac idiomPP 
at_each_other's_throat: A ac idiomPP 
at_each_other's_throats: A ac idiomPP 
at_ease: A ac idiomPP 
at_every_turn: RB idiomPP 
at_face_value: RB idiomPP 
at_fault: A ac idiomPP pred 
at_first_glance: RB idiomPP 
at_first_look: RB idiomPP 
at_full_tilt: A ac idiomPP 
at_gunpoint: A ac idiomPP 
at_half-mast: A ac idiomPP 
at_half-staff: A ac idiomPP 
at_hand: A ac idiomPP 
at_heart: RB idiomPP 
at_home: A ac idiomPP 
at_issue: A ac idiomPP 
at_knifepoint: A ac idiomPP 
at_leisure: A ac idiomPP 
at_liberty: A ac idiomPP 
at_loggerheads: A ac idiomPP 
at_loose_ends: A ac idiomPP 
at_odds: A ac idiomPP pred 
at_one_fell_swoop: A ac idiomPP 
at_one_time_or_another: RB idiomPP 
at_peace: A ac idiomPP pred 
at_rest: A ac idiomPP pred 
at_risk_of: P nt 
at_that_point: RB idiomPP 
at_that_rate: RB idiomPP 
at_that_stage: RB idiomPP 
at_that_stage_of_the_game: RB idiomPP 
at_that_time: RB idiomPP time 
at_the_bottom_of_the_heap: A ac idiomPP 
at_the_bottom_of_the_pile: A ac idiomPP 
at_the_drop_of_a_hat: RB idiomPP 
at_the_end_of: P 
at_the_helm: A ac idiomPP pred 
at_the_present_time: RB idiomPP 
at_the_ready: A ac idiomPP //risky boundary?
at_the_soonest: RB idiomPP 
at_the_time_of: P timeR 'at_time_of' 
at_the_very_least: RB idiomPP 
at_the_very_most: RB idiomPP 
at_the_very_outside: RB idiomPP 
at_this_juncture: RB idiomPP 
at_this_moment: RB idiomPP 
at_this_point: RB expression idiomPP 
at_this_point_in_time: RB idiomPP 
at_this_point_of_time: RB idiomPP 
at_this_rate: RB idiomPP 
at_this_stage: RB expression idiomPP 
at_this_stage_of_the_game: RB idiomPP 
at_time_of: P timeR 
at_times: RB freq idiomPP 
at_times_like_this: RB idiomPP 
at_wit's_end: A ac idiomPP 
ataractic_drug: N nc prod 
athletic_sock: N nc tool 
athletic_wear: N nc tool 
atom_bomb: N nc tool 
atom_smasher: N nc tool 
atomic_bomb: N nc tool 
atomic_clock: N nc prod tool 
atomic_mass_unit: N nc unit 
atrial_artery: N bodyPart nc 
atriopulmonary_connection: N nc treatment 
atrioventricular_valve: N bodyPart nc 
attache_case: N nc tool 
attack_aircraft: N nc tool 
